set,record_id,force_p1_N,force_p2_N,force_p3_N,ssim_mean,ssim_std,ssim_min,ssim_tend,ssim_slope,ssim_auc,mean_mean,mean_std,std_mean,std_std,min_mean,min_std,max_mean,max_std,p10_mean,p10_std,p25_mean,p25_std,p50_mean,p50_std,p75_mean,p75_std,p90_mean,p90_std,iqr_mean,iqr_std,entropy_mean,entropy_std,energy_mean,energy_std,glcm_contrast_mean,glcm_contrast_std,glcm_homogeneity_mean,glcm_homogeneity_std,glcm_energy_mean,glcm_energy_std,glcm_corr_mean,glcm_corr_std,speckle_contrast_mean,speckle_contrast_std,ps_centroid_mean,ps_centroid_std,grain_halfmax_r_mean,grain_halfmax_r_std
E,19,0.35,0.35,0.34,0.9985595657162742,0.0003702870176086654,0.9981149279925445,0.9981149279925445,-2.3164136063754627e-05,0.9985333605436162,109.16669006347657,0.04680725497187436,53.720648002624515,0.032039082511823566,55.0,0.0,255.0,0.0,59.0,0.0,64.0,0.0,95.0,0.0,131.15,0.3570714214271425,195.2,0.4000000000000001,67.15,0.3570714214271425,6.891194385785072,0.0009401039756950887,0.014099725941196083,1.632554336482877e-05,1.4659168198529413,0.0017550325908132314,0.8151550997891771,0.0003272777786034018,0.2538696247691433,0.000265980166241308,0.982871186588177,2.6348392219848413e-05,0.49209740926975065,0.00013333800423390434,6.515214649596447,0.0031384342597394785,14.0,0.0
E,20,0.35,0.36,0.34,0.9984802353730643,0.00038693323276651375,0.9979575375283104,0.9985797613483041,-9.237734252448413e-06,0.9984376224624545,108.75458297729492,0.05661934363908831,53.30777530670166,0.037668198943277706,55.0,0.0,255.0,0.0,59.0,0.0,64.0,0.0,95.0,0.0,131.0,0.0,193.55,0.4716990566028302,67.0,0.0,6.88281145109506,0.0011854664050346476,0.014142507058568298,2.2707451972743406e-05,1.434869025735294,0.0026140728316103373,0.8177605948995461,0.00026929424853696374,0.25426651412604956,0.0002104455343702707,0.9829777546667925,4.758153081045604e-05,0.4901657493745725,0.00014829857007915524,6.537287908002604,0.004728304042042711,14.0,0.0
E,21,0.36,0.36,0.34,0.9979303196100832,0.0005939533639761163,0.9971820934537897,0.9982054652211835,-5.78548621005517e-06,0.9978686136626614,108.80090713500977,0.0916563019036358,53.246878433227536,0.059760354659089604,55.0,0.0,255.0,0.0,59.0,0.0,64.0,0.0,95.0,0.0,131.05,0.2179449471770337,193.5,0.5,67.05,0.21794494717703367,6.885242345497528,0.0014822504929860837,0.014127494581043721,2.370846146083499e-05,1.435837162990196,0.0024148710858519274,0.8180022601890338,0.0004969090478840696,0.2541684810788047,0.00025384029687687705,0.9829261897701411,4.317253407061304e-05,0.4893973187064666,0.0002756932780304536,6.551172277450002,0.005885919960084116,14.0,0.0
E,22,0.36,0.37,0.35,0.9981349810021294,0.0005729084861404258,0.9971164558076964,0.9971832445171688,-3.314382947999059e-05,0.9981109472517636,109.8419174194336,0.07611619826469024,53.63462657928467,0.04021878230911644,55.2,0.39999999999999997,255.0,0.0,59.0,0.0,64.0,0.0,96.0,0.0,132.5,0.5,196.0,0.0,68.5,0.5,6.890241708243172,0.0017324641681772206,0.014380812575109304,1.9516453534417254e-05,1.442189031862745,0.002144382975781072,0.8149863368206602,0.0003886470767094771,0.25433179467925904,0.00028613165769428625,0.9831157757586372,3.432224458012396e-05,0.48828924225642617,0.00014160463419334094,6.496097043942458,0.008407109783032668,14.0,0.0
E,23,0.37,0.38,0.35,0.998342829406981,0.000489408457109355,0.9976931339250574,0.9984697741367313,-1.652423569678503e-05,0.998295879003724,110.12562637329101,0.09754988223768093,53.57565441131592,0.06311612359075765,55.0,0.0,255.0,0.0,59.0,0.0,64.0,0.0,97.0,0.0,133.55,0.49749371855331,194.6,0.4898979485566356,69.55,0.4974937185533099,6.903467921140445,0.0013265340869218132,0.014109077001921832,2.57687422020595e-05,1.4176539522058824,0.001836980493655454,0.813732146613378,0.00034093389147778826,0.25227499452272223,0.0002488782988279189,0.9833597065797317,4.06116650269504e-05,0.4864956773636278,0.0001611900235049143,6.517320529172716,0.008880902077966909,15.0,0.0
E,24,0.37,0.38,0.36,0.9984990205043187,0.0003561855252220775,0.9982780453720491,0.9982780453720491,-1.747577087551479e-05,0.9984653361789395,110.25580368041992,0.14887205876817325,53.51311893463135,0.09805903768113261,55.0,0.0,255.0,0.0,59.0,0.0,64.0,0.0,97.25,0.4330127018922193,133.95,0.2179449471770337,193.5,0.5,69.95,0.21794494717703367,6.9059744259159315,0.002064978348723847,0.014120967942290008,2.594598006136103e-05,1.4190081188725492,0.001866939613097217,0.8137672365624649,0.00046664518870802736,0.2518979332806827,0.00026232329964104675,0.9833045262271201,5.069995772708292e-05,0.4853539035615439,0.0002445616303681209,6.515299966063777,0.01028697166412935,15.0,0.0
E,25,0.38,0.39,0.36,0.9974614237773693,0.001065450284851642,0.9961790354811065,0.9962051874240363,-1.4905857589112763e-05,0.9974276779913089,109.51476211547852,0.13482341516154903,52.77430057525635,0.10104440852495569,55.0,0.0,255.0,0.0,59.0,0.0,64.0,0.0,97.0,0.0,132.2,0.4000000000000001,191.2,0.4000000000000001,68.2,0.39999999999999997,6.891740280758768,0.0025799668399600992,0.014284358313307165,3.546522887248231e-05,1.4065701593137254,0.002379579533896668,0.8154706340862052,0.0004646997019401534,0.25352974361895503,0.0003250608261497482,0.9829886954587265,5.3252094124797824e-05,0.4818917235478007,0.00034546632853539345,6.586728274667408,0.014679142263994166,14.9,0.30000000000000004
E,26,0.38,0.39,0.37,0.9979337716171532,0.000855579989109154,0.9964414018921999,0.9970530020993591,-4.366014612623516e-05,0.9979025753312047,110.33885116577149,0.15482979827725485,53.21597843170166,0.084240406287874,55.95,0.21794494717703367,255.0,0.0,59.0,0.0,65.0,0.0,97.25,0.4330127018922193,134.1,0.43588989435406733,193.35,0.47696960070847283,69.1,0.43588989435406733,6.903726225535975,0.0017582329611465933,0.014121412509121,1.981855341628033e-05,1.408913143382353,0.003575638945147256,0.8131453830616916,0.0003753500104644893,0.25495439614032606,0.000344892853670257,0.983236683786787,3.713901755086764e-05,0.48229582743568666,0.0001718557786749329,6.506003476617468,0.005756314613499895,15.0,0.0
E,27,0.39,0.4,0.37,0.9986900179099075,0.00030817794338702185,0.9985098314079324,0.9985098314079324,-1.3449870252165128e-05,0.9986602864470361,110.02244338989257,0.13340410171255296,53.2518611907959,0.08465728840812728,55.0,0.0,255.0,0.0,59.0,0.0,64.0,0.0,97.0,0.0,134.4,0.4898979485566356,192.05,0.47169905660283024,70.4,0.4898979485566356,6.908136241983925,0.001948196817081358,0.01414010338485241,1.8432891041473233e-05,1.4272051164215687,0.0031506900521541263,0.8146632797953111,0.0004083689885341738,0.25070647645081345,0.0002355735248173511,0.9830604566451957,3.0317620352031285e-05,0.4840088585277759,0.00019243598543453827,6.5548972073533935,0.00791326797547722,15.0,0.0
E,28,0.4,0.41,0.38,0.9979547249522991,0.0007643034402770375,0.9970871928523498,0.9971437185319749,-5.832262462657024e-05,0.9979222441989204,109.73370971679688,0.2413057366564419,53.25759868621826,0.1590204938018882,55.0,0.0,255.0,0.0,59.0,0.0,64.0,0.0,96.95,0.21794494717703367,133.6,0.4898979485566356,192.15,0.7921489758877429,69.6,0.4898979485566356,6.903377560193654,0.003397534758620379,0.014188089990057051,2.8997888957943495e-05,1.424967830882353,0.003744509621853914,0.8142746908931684,0.0004740425277151288,0.2514202252725859,0.00032740040005908275,0.9830815452268927,6.806183239278644e-05,0.48533406292541387,0.0003901524557578343,6.605356439732475,0.010911251882308503,14.0,0.0
E,29,0.4,0.41,0.39,0.998407030319318,0.0004195863772895488,0.9980994781697133,0.9984083975367809,-1.5737514343354205e-05,0.9983650740851296,109.88019256591797,0.05247050227171686,53.48580703735352,0.03302358507148528,55.0,0.0,255.0,0.0,59.0,0.0,64.0,0.0,97.0,0.0,133.95,0.2179449471770337,193.0,0.0,69.95,0.21794494717703367,6.907018773804549,0.0010791127397880391,0.014085385808721184,2.3728085350491547e-05,1.4292011335784316,0.0018760839739101044,0.8132721795916735,0.00021258363033573044,0.2511992437834482,0.00027437588665582405,0.9831703842861049,2.4226916006944553e-05,0.4867647457170764,9.65859067198485e-05,6.6226146333983635,0.003112844459356119,14.0,0.0
E,30,0.41,0.42,0.39,0.9982920790201628,0.0005299927530846071,0.9974217451299663,0.998550383272002,-3.3849938324689236e-05,0.998240336250882,109.20131072998046,0.05420765186119347,53.44993553161621,0.03055480064822419,55.0,0.0,255.0,0.0,59.0,0.0,64.0,0.0,96.0,0.0,132.6,0.4898979485566356,191.9,0.30000000000000004,68.6,0.4898979485566356,6.895847309178627,0.0008891303309770382,0.014115798333659769,1.6943111277059057e-05,1.4306602328431373,0.0025288149617685883,0.815248927523563,0.00035400360458939377,0.2510050616882674,0.00022625942449401988,0.9831356409312859,3.0027494647605013e-05,0.48946238991447055,0.00010139828344728502,6.64587222656216,0.005001324815899501,14.0,0.0
E,31,0.42,0.43,0.39,0.9982711931946013,0.0004146590390898029,0.9979047411077911,0.9980788506509324,-1.8076696353945556e-05,0.9982307599245294,109.49518127441407,0.03895971681571195,53.671719551086426,0.02140412908889763,55.0,0.0,255.0,0.0,59.0,0.0,64.0,0.0,96.2,0.39999999999999997,133.0,0.0,193.0,0.0,69.0,0.0,6.898671312213175,0.0009803533518290863,0.014075194695033133,2.4285419502052987e-05,1.4424471507352943,0.002324439438564968,0.8161548383396349,0.0005201847203647539,0.2507943864108245,0.0002281804796759169,0.9831481419993823,2.2952715523868898e-05,0.49017426101543676,8.900769491919517e-05,6.6613694945237345,0.0026005147813976666,14.0,0.0
E,32,0.42,0.43,0.4,0.9985922741812209,0.000328131639804626,0.9984409850730261,0.9985328310456726,-1.0803362214051719e-05,0.9985567930579518,109.40566329956054,0.037340312841918105,53.708397483825685,0.026772927598204578,55.0,0.0,255.0,0.0,59.0,0.0,64.0,0.0,96.0,0.0,133.0,0.0,193.0,0.0,69.0,0.0,6.8949610485266035,0.0007379922798733337,0.014110340061597526,2.049952764894211e-05,1.4389813112745098,0.0019846173113704105,0.8159646999451929,0.0002722442648321764,0.25116543675113057,0.00018081938247500653,0.9832168898645219,2.513702360304327e-05,0.4909105577762638,0.00010612478603729935,6.648230591699635,0.005958236155703597,14.0,0.0
E,33,0.42,0.44,0.4,0.9977767452267299,0.000615671344326388,0.9972068519586141,0.997546899341356,-2.0031031123821055e-05,0.9977242870980747,109.15767440795898,0.14331634526609963,53.63433265686035,0.08262813503209551,55.0,0.0,255.0,0.0,59.0,0.0,64.0,0.0,95.75,0.4330127018922193,132.55,0.49749371855331,193.25,0.6020797289396148,68.55,0.4974937185533099,6.892465498658332,0.0020804025599160123,0.014104233589023352,2.113302348715515e-05,1.4547372855392156,0.003267621139739825,0.814605779754792,0.00044447570596466135,0.2508144664417102,0.00019995067533366598,0.9829762151069759,7.247977274301002e-05,0.4913472063030545,0.00016819711073556536,6.7056593962704385,0.012572442510994073,14.0,0.0
E,34,0.43,0.44,0.41,0.9978978918084855,0.0006357225885958175,0.9969911173339123,0.9975836605325886,-3.180986536527527e-05,0.9978508424159431,109.01054382324219,0.04658090951956476,53.28910179138184,0.05463712295390901,55.0,0.0,255.0,0.0,59.0,0.0,64.0,0.0,95.0,0.0,132.0,0.0,194.0,0.0,68.0,0.0,6.8907335053052865,0.001145202296172416,0.014123521908186377,2.1954219957425402e-05,1.4675582107843137,0.0028287229955092294,0.8151816207702858,0.0004436534918696742,0.25523793169322156,0.0002668577767309374,0.9825938887680087,5.534585554326149e-05,0.48884347709839365,0.00036214584986333647,6.796426949253235,0.00845000390317458,14.0,0.0
E,35,0.44,0.45,0.41,0.9984544508384646,0.00038542014597811374,0.9982224059854795,0.9983089636396083,-1.385626666936849e-05,0.9984176071025784,109.0664176940918,0.08843449310240621,53.42642192840576,0.05926597500181462,55.1,0.3,255.0,0.0,59.0,0.0,64.0,0.0,94.95,0.21794494717703367,132.05,0.2179449471770337,194.0,0.31622776601683794,68.05,0.21794494717703367,6.894603900067478,0.0014886767140849634,0.014109170460142196,1.9546292733369705e-05,1.4702504595588235,0.001969754364238121,0.8155847908868138,0.0003660144835364318,0.25535854306767686,0.0003578331158475881,0.9826495983939632,3.5282706082152225e-05,0.4898520620522854,0.00016401480941045119,6.80000489839051,0.0077294979606532,13.95,0.21794494717703367
E,36,0.45,0.45,0.42,0.9980167057993281,0.0007133518115576913,0.9970580990038115,0.9985625770359757,-1.7307086203638007e-05,0.9979501488141092,109.67794723510742,0.22432588628000993,53.545671463012695,0.1352900380604207,56.0,0.0,255.0,0.0,59.0,0.0,65.0,0.0,95.35,0.47696960070847283,133.1,0.4358898943540674,195.55,0.5894913061275798,68.1,0.4358898943540674,6.899921431687167,0.002860426635797069,0.013889428321272134,1.961094311341885e-05,1.4729917279411766,0.0042135552109268636,0.8159918038715883,0.0007123048673073651,0.26322979134572094,0.0004376348796413656,0.9826791482801586,5.5986908984705616e-05,0.48820772711909777,0.0002814853382324047,6.780677986169431,0.012713713210882825,13.95,0.21794494717703367
E,37,0.45,0.46,0.42,0.9979181075787228,0.0006710301136618784,0.9972309624035668,0.9975698698621684,-4.591813690343887e-05,0.9978724850864668,109.78012619018554,0.14505756665079392,53.67280883789063,0.1085565242052904,56.0,0.0,255.0,0.0,59.0,0.0,65.0,0.0,95.25,0.4330127018922193,133.25,0.4330127018922193,196.05,0.49749371855331,68.25,0.4330127018922193,6.90087654621392,0.002691211119282598,0.013877568137831985,2.6274194175791924e-05,1.4802581188725494,0.0039656458327247835,0.815131757343757,0.0005009218453989621,0.26273525987200713,0.0004776148138943581,0.9826713957695997,4.9497891070656515e-05,0.4889115272266321,0.00045532445762331083,6.776564416830628,0.007265432841455634,14.0,0.0
E,38,0.45,0.46,0.43,0.9983331244860167,0.000637631818342875,0.9973573726563046,0.9973748557478871,-4.977757687961414e-05,0.9983144769392577,109.96377258300781,0.07206267158714505,53.817578125,0.0450298250947013,56.0,0.0,255.0,0.0,59.0,0.0,65.0,0.0,95.1,0.30000000000000004,134.0,0.0,197.175,0.36314597615834876,69.0,0.0,6.906728319916317,0.0014962388731886906,0.013876239187084138,1.9323448936036056e-05,1.4953117340686275,0.0022217263735880384,0.8145226211882507,0.0005580089862375331,0.2631226846725639,0.00036311850056335807,0.9825929865321787,3.841372521963963e-05,0.4894118729241569,0.00021189797911433972,6.7841958881024045,0.007314648957731125,13.35,0.47696960070847283
E,39,0.46,0.47,0.43,0.9978675073038833,0.0006928332822000699,0.9972397621200499,0.9980764260835892,-2.7343961087712513e-05,0.9978058912123878,109.76785278320312,0.07494052382638877,53.70632801055908,0.05853850508675313,56.0,0.0,255.0,0.0,59.0,0.0,65.0,0.0,95.0,0.0,133.6625,0.4628377145393404,196.675,0.4548351349665063,68.6625,0.4628377145393404,6.908056910368833,0.0013468952879356485,0.013847687398083508,1.624628706372676e-05,1.4949563419117649,0.002588720569687878,0.8138559899152868,0.0004332598024449813,0.2623080273754592,0.0004061533841668729,0.9825236797959997,4.710921958717171e-05,0.48927183138023905,0.0002942657469362879,6.792174598563409,0.004002955468128407,13.0,0.0
E,40,0.46,0.47,0.44,0.9984592641359722,0.00037360403723073,0.9982565103951723,0.9983995231448728,-9.73202063144659e-06,0.9984202905866584,109.92113800048828,0.04931390682817419,53.72094898223877,0.04032672175885006,56.0,0.0,255.0,0.0,59.0,0.0,65.0,0.0,95.0,0.0,134.0,0.0,196.8,0.4,69.0,0.0,6.9166541270089255,0.0008056347387608743,0.013773909001611174,1.3701448133686238e-05,1.4959849877450981,0.0021879424576214854,0.8133350290957756,0.00034337630391814917,0.2625305254127753,0.0003107835324611812,0.9825038997189065,4.2278179981512296e-05,0.4887225840720667,0.00017267294032899397,6.776163542838364,0.007343687600371059,13.2,0.39999999999999997
E,41,0.47,0.48,0.44,0.9984714292470789,0.00045683652686539627,0.9976921584098348,0.9977231550908175,-3.1351631910163104e-05,0.9984508951260879,109.9481414794922,0.12724913789616604,53.756112289428714,0.08181082238622246,56.0,0.0,255.0,0.0,59.0,0.0,65.0,0.0,95.0,0.0,133.6,0.4898979485566356,197.3,0.6403124237432849,68.6,0.4898979485566356,6.914717574466801,0.0023815698011313813,0.01381306170951575,2.2350691713132567e-05,1.502162224264706,0.0031280144946950503,0.8131560598259885,0.0003536535176141077,0.2621226524430232,0.00038621365511406824,0.9824646316652347,4.213039396183248e-05,0.488922225772665,0.0001896025168326377,6.77428406812939,0.009611022762285976,13.5,0.5
E,42,0.47,0.48,0.45,0.9984767145044005,0.00038882500832744564,0.9981057505759577,0.9981057505759577,-1.5181621253975297e-05,0.9984463902526068,109.95387496948243,0.033952938492892396,53.78082790374756,0.022936347457554955,56.0,0.0,255.0,0.0,59.0,0.0,65.0,0.0,95.0,0.0,134.0,0.0,197.0,0.0,69.0,0.0,6.915466333586034,0.0006544272751276163,0.013806983898393809,1.4669032449992901e-05,1.5066015624999998,0.0020517039861384766,0.8132240976659894,0.0003481655740960389,0.2622437273725817,0.0003679228115807296,0.9824339973291083,2.1203391965818825e-05,0.48912170035300556,7.94294103638555e-05,6.773758710815812,0.0022800246573553137,13.65,0.47696960070847283
E,43,0.47,0.49,0.45,0.9985919621833614,0.00032924142150049464,0.9983930559387162,0.9984050299549969,-1.3691441227190079e-05,0.998559827825749,110.21008605957032,0.051920351423590326,53.86493339538574,0.03450020469738305,56.0,0.0,255.0,0.0,59.0,0.0,65.0,0.0,96.0,0.0,134.0,0.0,197.025,0.10897247358851683,69.0,0.0,6.923049485884715,0.0011697209157195115,0.0137479308526963,2.064197131148073e-05,1.508802849264706,0.0015949426148351442,0.8117462788800323,0.00032224548940340336,0.26219945455413435,0.00034619151270703474,0.9824502089840733,2.5699584051103365e-05,0.48874773183688563,0.00010585088360926289,6.767343446383924,0.0034505393529712515,13.55,0.49749371855331004
E,44,0.48,0.49,0.46,0.9984583503975981,0.00041142822056043605,0.9979918013331557,0.9985974038110088,-6.810512408884242e-06,0.9984141213708401,109.19712371826172,0.07418936428460428,53.64268074035645,0.046765568442021004,55.0,0.0,255.0,0.0,59.0,0.0,64.0,0.0,95.0,0.0,133.0,0.0,195.15,0.3570714214271425,69.0,0.0,6.91031600442941,0.001250977279612933,0.014093432389199734,2.5853975388573046e-05,1.5019967830882355,0.002449478107883762,0.8118313320200696,0.00044061955164089773,0.25161902542339437,0.00023774380548318965,0.9824095011457163,2.4214545273499332e-05,0.4912462254824693,0.00013828474225489602,6.767961864485265,0.005891695548797232,13.55,0.49749371855331004
E,45,0.49,0.5,0.46,0.9985948022591179,0.0003314364741401029,0.9984045499013988,0.9984045499013988,-1.5345726660858652e-05,0.9985628300121662,109.30911254882812,0.04762946792144025,53.72596073150635,0.03384746502489177,55.0,0.0,255.0,0.0,59.0,0.0,64.0,0.0,95.0,0.0,133.0,0.0,195.725,0.43229041164476456,69.0,0.0,6.9094079264266055,0.000867649559763763,0.014136367244645953,2.399847807086926e-05,1.5014361213235294,0.0019919745826696205,0.8116325053913307,0.0002038866610619605,0.25136663189127056,0.00026380424609183834,0.982477121936762,3.5577539632408564e-05,0.4915048274023433,0.00010919964148734787,6.748918078219636,0.00420724405450903,14.0,0.0
E,46,0.49,0.5,0.47,0.9979282407727676,0.0006000326266494542,0.9974497113820622,0.9974497113820622,-3.520298861758922e-05,0.9978863136717802,109.60342254638672,0.04163131564962074,53.77398338317871,0.015176219692786914,55.0,0.0,255.0,0.0,59.0,0.0,64.0,0.0,96.0,0.0,133.0,0.0,196.6,0.4898979485566356,69.0,0.0,6.907562656755478,0.0010278910148511736,0.014113551937043667,2.7825506949806236e-05,1.4900467218137254,0.002169459882119785,0.8112297720528071,0.0004937190124667818,0.25083896997242927,0.00028602699859230096,0.9826353387111293,2.8333460019089293e-05,0.4906232537533722,0.0001546395111618735,6.689017079878832,0.004808487588642446,14.0,0.0
